airport,year,sample_months,dep_flights,dep_cancelled,dep_cancel_rate,dep_delay15_rate,weather_delay_min,nas_delay_min,carrier_delay_min,late_aircraft_delay_min,coverage_note
JFK,2021,1,3260,13,0.004,0.0998,670.0,7350.0,14594.0,2361.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
JFK,2022,3,33541,2124,0.0633,0.2934,27982.0,129986.0,349635.0,188779.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
JFK,2023,4,43533,1557,0.0358,0.2614,41231.0,217951.0,375556.0,272981.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
JFK,2024,3,30194,688,0.0228,0.2346,21015.0,129299.0,219061.0,170832.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
ORD,2016,1,18610,359,0.0193,0.234,23313.0,44420.0,80409.0,71692.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
ORD,2017,1,18782,320,0.017,0.2272,12100.0,88699.0,106355.0,94935.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
ORD,2018,1,25680,578,0.0225,0.2211,40164.0,82939.0,132523.0,141380.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
ORD,2019,2,56730,3954,0.0697,0.2793,137498.0,302409.0,329768.0,524590.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
ORD,2020,2,39274,6057,0.1542,0.1347,31318.0,74944.0,109738.0,83392.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
ORD,2021,1,11891,312,0.0262,0.1122,15745.0,32463.0,33851.0,33974.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
ORD,2022,3,63852,2989,0.0468,0.2356,98350.0,171100.0,376412.0,390939.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
ORD,2023,4,85619,1491,0.0174,0.2355,112331.0,287636.0,528015.0,602754.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
ORD,2024,3,67196,1904,0.0283,0.2651,151618.0,267821.0,423013.0,578805.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
PIT,2016,1,1887,34,0.018,0.1025,938.0,2235.0,4183.0,4067.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
PIT,2017,1,2107,28,0.0133,0.1371,472.0,5924.0,5925.0,6635.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
PIT,2018,1,3780,115,0.0304,0.158,2330.0,13762.0,11737.0,17054.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
PIT,2019,2,8371,237,0.0283,0.1631,4002.0,43566.0,26500.0,43158.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
PIT,2020,2,6246,950,0.1521,0.0872,1177.0,8291.0,9831.0,11637.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
PIT,2021,1,1705,13,0.0076,0.0597,178.0,3477.0,2168.0,1063.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
PIT,2022,3,9991,577,0.0578,0.1844,10368.0,33209.0,43836.0,53090.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
PIT,2023,4,13860,280,0.0202,0.1783,10331.0,50848.0,56988.0,73573.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
PIT,2024,3,10568,154,0.0146,0.1872,5778.0,43725.0,42307.0,61600.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
